Angle,DistanceToGoal,DistanceToOpp,OppX,OppY,Success
0.17418195,3396.1414,2691.47,2650.7444,466.43857,False
0.14675148,2808.747,2604.3237,2576.3308,380.81805,True
0.121808216,3003.9097,2859.2588,2838.0732,347.4206,False
0.090542324,4181.5366,3843.7205,3827.976,347.54407,False
0.15996675,3557.4192,3270.2322,3228.48,520.9002,False
0.15929054,2946.473,2071.907,2045.6769,328.64127,False
0.1227567,4367.864,4085.3308,4054.588,500.2431,False
0.10420562,3503.9587,2917.1343,2901.3103,303.43195,False
0.14883137,2986.4495,2429.6619,2402.8022,360.27643,False
0.15827036,3592.5005,3456.4045,3413.2043,544.7654,False
0.106080204,3327.2258,2468.6943,2454.8174,261.38873,False
0.19210498,2804.6807,2070.1843,2032.1024,395.25116,True
0.1602087,3029.1062,2777.919,2742.3447,443.1454,True
0.18914473,2990.6028,2732.7688,2684.031,513.8123,True
0.16211733,2557.1077,2201.8445,2172.9734,355.39563,False
0.19762474,3237.447,2375.5107,2329.2732,466.40985,True
0.104566544,3054.007,2416.4197,2403.221,252.21643,False
0.1804017,2928.6863,2559.619,2518.0803,459.25897,True
0.1694434,3041.5583,2751.5042,2712.099,463.99643,True
0.09400357,4066.0876,3708.1199,3691.7483,348.0634,False
0.15930158,2606.8743,2150.2307,2123.0054,341.08826,True
0.12229177,3690.7327,2988.622,2966.3022,364.5736,False
0.1800375,2888.1704,2364.7087,2326.488,423.44006,True
0.113356605,4312.8716,4188.6655,4161.783,473.79675,False
0.12349374,2816.9775,2328.9753,2311.2385,286.88336,False
0.13774474,3135.1235,2773.082,2746.816,380.7707,False
0.1210443,3108.1738,2897.2046,2876.0059,349.83435,False
0.120938346,3900.5994,3607.9229,3581.5703,435.27338,False
0.20485492,2593.987,1738.804,1702.4463,353.71637,True
0.20478337,3016.2256,2638.79,2583.6528,536.6113,True
0.09558992,3922.0298,3397.2578,3381.7483,324.24927,False
0.1346468,3215.272,3008.851,2981.6174,403.90912,False
0.12885083,3143.579,3040.3052,3015.1016,390.66275,True
0.14649184,2756.6096,2644.834,2616.5059,386.06232,True
0.12526762,3370.3862,3127.648,3103.1406,390.76917,False
0.10513982,4522.1406,4260.576,4237.049,447.13135,False
0.16348049,3830.431,3152.7578,3110.7214,513.12164,False
0.15135625,3164.3625,2539.9038,2510.8662,382.96417,True
0.11540226,3092.501,2132.276,2118.093,245.52362,False
0.1122668,3389.3486,2888.1797,2869.9978,323.566,False
0.16176654,3585.3958,3224.4563,3182.3586,519.33716,False
0.097446665,2621.3406,1826.4968,1817.8315,177.70447,False
0.10892822,3526.6975,3189.8755,3170.97,346.78076,False
0.17103282,2972.3171,2353.6116,2319.271,400.58508,True
0.21473241,2827.0957,2435.9497,2380.0044,519.0668,True
0.12460315,2873.4226,2311.4397,2293.519,287.26794,False
0.09404884,4392.2314,3925.5706,3908.2222,368.65134,False
0.19738817,2801.732,2376.022,2329.8848,465.95905,True
0.13290024,3374.4727,2949.4297,2923.421,390.82703,False
0.14440809,3774.6973,2894.6443,2864.5146,416.55872,False
0.15983938,2856.6746,2628.3562,2594.8523,418.32822,False
0.23719087,2035.2917,1756.1172,1706.9491,412.64023,True
0.19628836,2923.1643,2478.514,2430.9197,483.38538,True
0.13486789,3302.2717,3165.8975,3137.1484,425.68472,False
0.16925916,2947.8804,1965.0664,1936.9854,331.01965,True
0.17762004,3291.6335,2174.8865,2140.669,384.2754,False
0.12905192,2715.8396,2374.3513,2354.607,305.56476,False
0.09745156,4024.3972,3548.183,3531.3481,345.22894,False
0.13677059,3054.9172,2906.956,2879.8093,396.34772,False
0.13861984,3813.8916,3532.1812,3498.2988,488.06378,False
0.14493155,3031.1187,2653.2317,2625.4146,383.1922,True
0.13154137,2963.6663,2836.2717,2811.769,372.0121,False
0.21053262,2831.695,2421.1719,2367.712,505.97842,True
0.18175735,2749.9797,2555.0444,2512.9568,461.8454,True
0.1638368,2566.8574,2182.621,2153.393,355.99603,False
0.12263151,3956.6365,3366.7014,3341.418,411.82965,False
0.17546335,3123.317,2249.939,2215.3928,392.75922,True
0.16748947,3081.5264,2863.206,2823.1396,477.31787,True
0.19118012,3025.4644,2187.4062,2147.5532,415.6458,True
0.13666917,4048.4153,3732.1335,3697.3325,508.4812,False
0.14254014,2741.0105,2657.089,2630.1418,377.46063,False
0.14201106,3247.6814,2897.4314,2868.2642,410.0857,True
0.1402243,3646.2773,3247.5635,3215.6877,453.89642,False
0.15848123,3055.3994,2925.5684,2888.9055,461.70926,True
0.102117755,3509.3823,3068.4983,3052.513,312.80383,False
0.14375855,3777.2715,3285.481,3251.5896,470.6908,False
0.11722862,3438.7664,2734.961,2716.1897,319.88184,False
0.12286203,3231.8723,2995.9617,2973.378,367.16458,False
0.09741734,4199.731,3799.8867,3781.8704,369.58963,False
0.15110132,3009.7102,2765.422,2733.9126,416.2707,True
0.162253,2540.501,1676.1459,1654.1311,270.768,True
0.2133583,2901.2192,2602.6504,2543.6362,551.0936,True
0.1726326,3133.7656,2838.073,2795.8877,487.514,True
0.14423904,2530.7683,1849.4958,1830.29,265.84546,True
0.11123537,2699.3015,1835.2362,1823.894,203.72247,False
0.13080648,3484.4683,2586.197,2564.103,337.3274,False
0.14898264,3062.349,2781.6638,2750.85,412.88824,False
0.15436527,2959.4287,2712.29,2680.039,417.02258,True
0.13302939,3046.745,2614.149,2591.052,346.73383,False
0.18445852,4022.1475,3096.1423,3043.6187,567.8767,True
0.16678095,2531.8206,2375.9734,2343.005,394.43256,True
